job,pid,state,cpu_percent,memory_percent,time in,time out
ica_readmodule,1082,1,0.0,3.253083291096469,1612209507664898373,1612209507665639411
ica_readmodule,1026,1,0.0,3.261108295320155,1612209507802854223,1612209507803595727
cov1svd,1217,0,0.0,3.2602635580334516,1612209508813716579,1612209508821268276
whiten,1216,0,0.0,3.2205609055583713,1612209508825233105,1612209508826314180
normfn,1214,0,0.0,3.216337219124852,1612209508828501175,1612209508829556001
cov2svd,1215,0,0.0,3.2205609055583713,1612209508831626070,1612209508832671990
ica_readmodule,1082,1,0.0,3.2687109309004896,1612209507665994670,1612209507667724143
ica_readmodule,1026,1,236.9,3.2750464605507688,1612209507803945984,1612209507805680082
cov1svd,1217,0,20.425,3.2602635580334516,1612209508825123523,1612209508834854923
whiten,1216,0,0.0,3.2205609055583713,1612209508838365280,1612209508839312035
normfn,1214,0,0.0,3.2188714309849638,1612209508841259086,1612209508841968241
cov2svd,1215,0,0.0,3.2205609055583713,1612209508843701336,1612209508844424033
ica_readmodule,1082,1,0.0,3.2687109309004896,1612209507668002840,1612209507669595802
ica_readmodule,1026,1,0.0,3.2750464605507688,1612209507805956330,1612209507807439597
cov1svd,1217,0,15.1,3.2602635580334516,1612209508838292209,1612209508845165010
whiten,1216,0,0.0,3.2205609055583713,1612209508847777518,1612209508848554068
normfn,1214,0,27.125,3.2188714309849638,1612209508850480702,1612209508851243554
cov2svd,1215,0,26.275,3.2205609055583713,1612209508853210135,1612209508854154026
ica_readmodule,1082,1,100.05,3.2687109309004896,1612209507670493090,1612209507671539284
ica_readmodule,1026,1,0.0,3.2750464605507688,1612209507807734022,1612209507809262706
cov1svd,1217,0,19.05,3.2602635580334516,1612209508856357843,1612209508857779538
whiten,1216,0,17.525,3.2205609055583713,1612209508861997331,1612209508863037522
normfn,1214,0,17.525,3.2188714309849638,1612209508864732181,1612209508865494096
cov2svd,1215,0,0.0,3.2205609055583713,1612209508867163859,1612209508867990043
ica_readmodule,1082,1,0.0,3.2687109309004896,1612209507672595270,1612209507673349694
ica_readmodule,1026,1,0.0,3.2750464605507688,1612209507809534109,1612209507811251854
cov1svd,1217,0,20.775,3.2602635580334516,1612209508867883431,1612209508870708383
whiten,1216,0,0.0,3.2205609055583713,1612209508875399086,1612209508876244592
normfn,1214,0,0.0,3.2188714309849638,1612209508877635506,1612209508878357890
cov2svd,1215,0,0.0,3.2205609055583713,1612209508880070205,1612209508880808422
ica_readmodule,1082,1,0.0,3.2687109309004896,1612209507674335419,1612209507675118853
ica_readmodule,1026,1,0.0,3.2750464605507688,1612209507812625435,1612209507813381574
cov1svd,1217,0,15.325,3.287717519851326,1612209508873846455,1612209508886189738
whiten,1216,0,16.9,3.2205609055583713,1612209508890203160,1612209508890956376
normfn,1214,0,0.0,3.2188714309849638,1612209508892242657,1612209508893216078
cov2svd,1215,0,0.0,3.2205609055583713,1612209508894657408,1612209508895430572
ica_readmodule,1082,1,0.0,3.2687109309004896,1612209507676162339,1612209507676961190
ica_readmodule,1026,1,0.0,3.2750464605507688,1612209507814469012,1612209507815204734
cov1svd,1217,0,15.525,3.287717519851326,1612209508900069348,1612209508902413788
whiten,1216,0,0.0,3.2205609055583713,1612209508905183169,1612209508906124299
normfn,1214,0,0.0,3.2188714309849638,1612209508907275530,1612209508908045517
cov2svd,1215,0,30.975,3.2205609055583713,1612209508910808127,1612209508911618946
ica_readmodule,1082,1,0.0,3.2687109309004896,1612209507677254991,1612209507678809308
ica_readmodule,1026,1,0.0,3.2750464605507688,1612209507815494836,1612209507817297579
cov1svd,1217,0,20.175,3.287717519851326,1612209508912825957,1612209508922276684
whiten,1216,0,0.0,3.2205609055583713,1612209508925309446,1612209508926015944
normfn,1214,0,0.0,3.2188714309849638,1612209508927377640,1612209508928026275
cov2svd,1215,0,0.0,3.2205609055583713,1612209508929285941,1612209508930046449
ica_readmodule,1082,1,130.525,3.2687109309004896,1612209507679107432,1612209507680828258
ica_readmodule,1026,1,120.075,3.2750464605507688,1612209507817571900,1612209507819187406
cov1svd,1217,0,15.0,3.287717519851326,1612209508924929973,1612209508931336584
whiten,1216,0,26.0,3.2205609055583713,1612209508934939961,1612209508935581877
normfn,1214,0,0.0,3.2188714309849638,1612209508937366379,1612209508938029180
cov2svd,1215,0,0.0,3.2205609055583713,1612209508939845243,1612209508940504815
ica_readmodule,1082,1,0.0,3.2687109309004896,1612209507681704088,1612209507682702053
ica_readmodule,1026,1,131.1,3.2750464605507688,1612209507819483184,1612209507820968691
cov1svd,1217,0,68.85,3.287717519851326,1612209508932712498,1612209508961998621
whiten,1216,0,0.0,3.2205609055583713,1612209508986188892,1612209508986962421
normfn,1214,0,4.9,3.2188714309849638,1612209508988272763,1612209508989247695
cov2svd,1215,0,0.0,3.2205609055583713,1612209508991166517,1612209508992116553
