job,pid,state,cpu_percent,memory_percent,time in,time out
ica_readmodule,1119,1,0.0,3.336712282480149,1612480937778962467,1612480937780171676
ica_readmodule,1120,1,0.0,3.3392464943402604,1612480937781303334,1612480937782451189
cov1svd,1138,0,0.0,3.2898293630680855,1612480939267257578,1612480939269395516
whiten,1139,0,0.0,3.291518837641493,1612480939277399882,1612480939279301522
normfn,1137,0,0.0,3.287717519851326,1612480939285197012,1612480939286973393
cov2svd,1136,0,0.0,3.2902517317114377,1612480939292493002,1612480939294540317
ica_readmodule,1119,1,0.0,3.336712282480149,1612480937822481443,1612480937823209770
ica_readmodule,1120,1,0.0,3.3392464943402604,1612480937823962160,1612480937824699863
cov1svd,1138,0,58.725,3.2898293630680855,1612480939274258781,1612480939289765228
whiten,1139,0,8.8,3.291518837641493,1612480939306017707,1612480939307352219
normfn,1137,0,0.0,3.287717519851326,1612480939310916596,1612480939312145901
cov2svd,1136,0,0.0,3.2902517317114377,1612480939315000548,1612480939316098033
ica_readmodule,1119,1,0.0,3.336712282480149,1612480937864636523,1612480937865367038
ica_readmodule,1120,1,0.0,3.3392464943402604,1612480937866342187,1612480937867146503
cov1svd,1138,0,21.775,3.2898293630680855,1612480939297848239,1612480939311630648
whiten,1139,0,22.7,3.291518837641493,1612480939328034999,1612480939330195333
normfn,1137,0,0.0,3.287717519851326,1612480939333909031,1612480939335390312
cov2svd,1136,0,0.0,3.2902517317114377,1612480939343458114,1612480939344724711
ica_readmodule,1119,1,5.95,3.336712282480149,1612480937906719208,1612480937907458265
ica_readmodule,1120,1,0.0,3.3392464943402604,1612480937908713828,1612480937909510436
cov1svd,1138,0,16.875,3.2898293630680855,1612480939313495622,1612480939315547676
whiten,1139,0,0.0,3.291518837641493,1612480939338989844,1612480939343310512
normfn,1137,0,18.575,3.287717519851326,1612480939347345403,1612480939349013036
cov2svd,1136,0,35.3,3.2902517317114377,1612480939350551712,1612480939351254045
ica_readmodule,1119,1,0.0,3.336712282480149,1612480937948793248,1612480937949507044
