job,pid,state,cpu_percent,memory_percent,time in,time out
ica_readmodule,1167,1,0.0,3.429868384348135,1612647789689439649,1612647789690221878
ica_readmodule,1160,1,0.0,3.3111015308667024,1612647789691902995,1612647789692767465
cov1svd,1186,0,0.0,3.241785644849069,1612647790459971312,1612647790464934796
whiten,1185,0,0.0,3.235023119383934,1612647790473278397,1612647790474575777
normfn,1313,0,0.0,3.271794351600605,1612647790486433129,1612647790487858791
cov2svd,1316,0,0.0,3.271794351600605,1612647790491185734,1612647790492568688
ica_readmodule,1167,1,21.7,3.429868384348135,1612647789701072626,1612647789702243757
ica_readmodule,1160,1,0.0,3.3111015308667024,1612647789695421710,1612647789696660292
cov1svd,1186,0,24.175,3.241785644849069,1612647790470445617,1612647790483443278
whiten,1185,0,0.0,3.235023119383934,1612647790486632564,1612647790487653542
normfn,1313,0,13.15,3.271794351600605,1612647790505651776,1612647790506756452
cov2svd,1316,0,0.0,3.271794351600605,1612647790509504704,1612647790510568911
ica_readmodule,1167,1,0.0,3.429868384348135,1612647789702614221,1612647789703983318
ica_readmodule,1160,1,0.0,3.3111015308667024,1612647789697043726,1612647789698609648
cov1svd,1186,0,30.175,3.241785644849069,1612647790485912416,1612647790490762724
whiten,1185,0,27.9,3.235023119383934,1612647790495598397,1612647790496552292
normfn,1313,0,0.0,3.271794351600605,1612647790537843357,1612647790539075792
cov2svd,1316,0,0.0,3.271794351600605,1612647790542295601,1612647790544421411
ica_readmodule,1167,1,106.075,3.429868384348135,1612647789704970389,1612647789706057823
ica_readmodule,1160,1,132.7,3.3111015308667024,1612647789698930895,1612647789701054624
cov1svd,1186,0,18.675,3.241785644849069,1612647790500002668,1612647790503163257
whiten,1185,0,0.0,3.235023119383934,1612647790509877553,1612647790511129258
normfn,1313,0,51.7,3.271794351600605,1612647790542691170,1612647790544225997
cov2svd,1316,0,49.275,3.271794351600605,1612647790547263777,1612647790548676418
ica_readmodule,1167,1,0.0,3.429868384348135,1612647789706414485,1612647789708037069
ica_readmodule,1160,1,0.0,3.3360383435193874,1612647789701414048,1612647789703053459
cov1svd,1186,0,36.875,3.241785644849069,1612647790511485295,1612647790515575143
whiten,1185,0,24.8,3.235023119383934,1612647790519959884,1612647790521222005
normfn,1313,0,0.0,3.271794351600605,1612647790547112893,1612647790550566085
cov2svd,1316,0,0.0,3.271794351600605,1612647790553160380,1612647790554341878
ica_readmodule,1167,1,0.0,3.429868384348135,1612647789709105441,1612647789709937514
ica_readmodule,1160,1,0.0,3.3360383435193874,1612647789705903432,1612647789707950547
cov1svd,1186,0,26.475,3.26925840455118,1612647790523384636,1612647790526551630
whiten,1185,0,0.0,3.235023119383934,1612647790535425068,1612647790536494118
normfn,1313,0,53.125,3.271794351600605,1612647790551827998,1612647790554303284
cov2svd,1316,0,65.3,3.271794351600605,1612647790556985235,1612647790558777507
ica_readmodule,1167,1,0.0,3.429868384348135,1612647789710234802,1612647789711753064
ica_readmodule,1160,1,79.675,3.3360383435193874,1612647789709046786,1612647789709895320
cov1svd,1186,0,14.875,3.26925840455118,1612647790540356886,1612647790541768067
whiten,1185,0,25.8,3.235023119383934,1612647790545113914,1612647790546244161
normfn,1313,0,0.0,3.271794351600605,1612647790556157691,1612647790558309752
cov2svd,1316,0,0.0,3.271794351600605,1612647790561215085,1612647790562910327
ica_readmodule,1167,1,0.0,3.429868384348135,1612647789712121653,1612647789713696320
ica_readmodule,1160,1,0.0,3.3360383435193874,1612647789710958851,1612647789711989779
cov1svd,1186,0,32.825,3.26925840455118,1612647790547343627,1612647790549431519
whiten,1185,0,0.0,3.235023119383934,1612647790552441797,1612647790553417202
normfn,1313,0,54.5,3.271794351600605,1612647790560739413,1612647790562767152
cov2svd,1316,0,0.0,3.271794351600605,1612647790565870608,1612647790567492153
ica_readmodule,1167,1,0.0,3.429868384348135,1612647789714014702,1612647789715799835
ica_readmodule,1160,1,0.0,3.3360383435193874,1612647789713056070,1612647789713900177
cov1svd,1186,0,0.0,3.26925840455118,1612647790554105423,1612647790555882278
whiten,1185,0,32.25,3.235023119383934,1612647790560194675,1612647790561017947
normfn,1313,0,0.0,3.271794351600605,1612647790567340540,1612647790568199020
cov2svd,1316,0,0.0,3.271794351600605,1612647790570225092,1612647790571311278
