job,pid,state,cpu_percent,memory_percent,time in,time out
ica_readmodule,3961,1,0.0,3.294195217203865,1612630427322295404,1612630427323123469
ica_readmodule,5764,1,0.0,3.4116940971605842,1612630428169983968,1612630428171331290
cov1svd,4696,0,0.0,3.273484982966889,1612630428338618670,1612630428340147345
whiten,4695,0,0.0,3.2848967446893043,1612630428342770432,1612630428344056194
normfn,4757,0,0.0,3.243053618373782,1612630428361250929,1612630428362840231
cov2svd,4755,0,0.0,3.2426309605322103,1612630428371630012,1612630428373288324
ica_readmodule,3961,1,0.0,3.294195217203865,1612630427364424738,1612630427365135513
ica_readmodule,5764,1,11.5,3.4116940971605842,1612630428213572811,1612630428214758469
cov1svd,4696,0,42.2,3.273484982966889,1612630428344523792,1612630428347195367
whiten,4695,0,0.0,3.2848967446893043,1612630428350293447,1612630428351052863
normfn,4757,0,0.0,3.243053618373782,1612630428389855243,1612630428392924057
cov2svd,4755,0,10.475,3.2426309605322103,1612630428395798342,1612630428396752809
ica_readmodule,3961,1,0.0,3.294195217203865,1612630427405554759,1612630427406241158
ica_readmodule,5764,1,0.0,3.4116940971605842,1612630428255438712,1612630428256462915
cov1svd,4696,0,0.0,3.273484982966889,1612630428348969508,1612630428351174528
whiten,4695,0,0.0,3.2848967446893043,1612630428357192513,1612630428358451036
normfn,4757,0,52.05,3.243053618373782,1612630428394655493,1612630428397836128
cov2svd,4755,0,0.0,3.2426309605322103,1612630428400335210,1612630428401174470
ica_readmodule,3961,1,0.0,3.294195217203865,1612630427446659675,1612630427447363679
ica_readmodule,5764,1,5.725,3.4116940971605842,1612630428299063648,1612630428300267119
cov1svd,4696,0,0.0,3.273484982966889,1612630428351653896,1612630428354563854
whiten,4695,0,168.35,3.2848967446893043,1612630428358693741,1612630428359310868
normfn,4757,0,0.0,3.243053618373782,1612630428400051828,1612630428401173897
cov2svd,4755,0,78.35,3.2426309605322103,1612630428403523346,1612630428405084054
ica_readmodule,3961,1,0.0,3.294195217203865,1612630427487867039,1612630427488574167
ica_readmodule,5764,1,0.0,3.4116940971605842,1612630428343006600,1612630428344174707
cov1svd,4696,0,27.2,3.273484982966889,1612630428360526683,1612630428362224627
whiten,4695,0,0.0,3.2848967446893043,1612630428364604176,1612630428365799887
normfn,4757,0,0.0,3.243053618373782,1612630428402694086,1612630428404323543
cov2svd,4755,0,0.0,3.2426309605322103,1612630428407438346,1612630428408487916
ica_readmodule,3961,1,0.0,3.294195217203865,1612630427529806635,1612630427530505326
ica_readmodule,5764,1,0.0,3.4116940971605842,1612630428384852502,1612630428386021910
cov1svd,4696,0,6.05,3.273484982966889,1612630428401899777,1612630428403504285
whiten,4695,0,0.0,3.2848967446893043,1612630428406888298,1612630428407877398
normfn,4757,0,25.1,3.243053618373782,1612630428412648330,1612630428413898470
cov2svd,4755,0,0.0,3.2426309605322103,1612630428416402240,1612630428417613943
ica_readmodule,3961,1,0.0,3.294195217203865,1612630427570930718,1612630427571619565
ica_readmodule,5764,1,5.975,3.4116940971605842,1612630428426690747,1612630428427878801
cov1svd,4696,0,7.275,3.273484982966889,1612630428436504949,1612630428437862533
whiten,4695,0,7.4,3.2848967446893043,1612630428440663951,1612630428441684248
normfn,4757,0,0.0,3.243053618373782,1612630428447480792,1612630428448556195
cov2svd,4755,0,7.225,3.2426309605322103,1612630428450976371,1612630428452049847
ica_readmodule,3961,1,12.175,3.294195217203865,1612630427612035530,1612630427612725732
ica_readmodule,5764,1,0.0,3.4116940971605842,1612630428468547222,1612630428469864336
cov1svd,4696,0,5.375,3.273484982966889,1612630428482771201,1612630428484406333
whiten,4695,0,0.0,3.2848967446893043,1612630428487743732,1612630428488707885
normfn,4757,0,5.425,3.243053618373782,1612630428493596231,1612630428494808768
cov2svd,4755,0,0.0,3.2426309605322103,1612630428496819002,1612630428497675240
ica_readmodule,3961,1,0.0,3.294195217203865,1612630427653142165,1612630427653831169
ica_readmodule,5764,1,5.675,3.4116940971605842,1612630428512636942,1612630428513794320
cov1svd,4696,0,6.2,3.273484982966889,1612630428523229360,1612630428524717984
whiten,4695,0,6.2,3.2848967446893043,1612630428528051321,1612630428529156773
normfn,4757,0,0.0,3.243053618373782,1612630428534274033,1612630428535140324
cov2svd,4755,0,0.0,3.2426309605322103,1612630428537211443,1612630428538134660
ica_readmodule,3961,1,0.0,3.294195217203865,1612630427694248540,1612630427694936659
ica_readmodule,5764,1,0.0,3.4116940971605842,1612630428554452896,1612630428555602149
cov1svd,4696,0,0.0,3.2925045858375808,1612630428564299750,1612630428565945611
whiten,4695,0,0.0,3.2848967446893043,1612630428569340249,1612630428570493201
normfn,4757,0,0.0,3.243053618373782,1612630428576155257,1612630428577104724
cov2svd,4755,0,11.875,3.2426309605322103,1612630428579330580,1612630428580281661
ica_readmodule,3961,1,0.0,3.294195217203865,1612630427735360228,1612630427736074804
ica_readmodule,5764,1,5.975,3.4116940971605842,1612630428596267028,1612630428597427843
cov1svd,4696,0,5.625,3.2925045858375808,1612630428608872849,1612630428610404598
whiten,4695,0,5.6,3.2848967446893043,1612630428613937567,1612630428614923334
normfn,4757,0,5.175,3.243053618373782,1612630428624459261,1612630428625450811
cov2svd,4755,0,0.0,3.2426309605322103,1612630428627703438,1612630428628644623
ica_readmodule,3961,1,0.0,3.294195217203865,1612630427776501758,1612630427777213679
ica_readmodule,5764,1,0.0,3.4116940971605842,1612630428640222948,1612630428641373451
cov1svd,4696,0,5.65,3.2925045858375808,1612630428653062100,1612630428654710513
whiten,4695,0,0.0,3.2848967446893043,1612630428658372335,1612630428659359873
normfn,4757,0,0.0,3.243053618373782,1612630428665408622,1612630428666384651
cov2svd,4755,0,0.0,3.2426309605322103,1612630428668631601,1612630428669568672
ica_readmodule,3961,1,0.0,3.294195217203865,1612630427817727611,1612630427818417500
ica_readmodule,5764,1,0.0,3.4116940971605842,1612630428682034579,1612630428683190342
cov1svd,4696,0,6.475,3.2925045858375808,1612630428691698203,1612630428693373647
whiten,4695,0,6.625,3.2848967446893043,1612630428696165585,1612630428697299475
normfn,4757,0,6.65,3.243053618373782,1612630428703049745,1612630428704396550
cov2svd,4755,0,6.6,3.2426309605322103,1612630428706516210,1612630428707464583
ica_readmodule,3961,1,0.0,3.294195217203865,1612630427859621426,1612630427860306211
ica_readmodule,5764,1,5.975,3.4116940971605842,1612630428723848867,1612630428724998536
cov1svd,4696,0,0.0,3.2925045858375808,1612630428733539050,1612630428735218661
whiten,4695,0,5.85,3.2848967446893043,1612630428738924284,1612630428739905884
normfn,4757,0,0.0,3.243053618373782,1612630428745893091,1612630428746834225
cov2svd,4755,0,0.0,3.2426309605322103,1612630428749074144,1612630428750012204
ica_readmodule,3961,1,0.0,3.294195217203865,1612630427900727072,1612630427901419565
ica_readmodule,5764,1,0.0,3.4116940971605842,1612630428765662217,1612630428766835584
cov1svd,4696,0,5.75,3.2925045858375808,1612630428777152893,1612630428778821254
whiten,4695,0,0.0,3.2848967446893043,1612630428796125376,1612630428797165152
normfn,4757,0,0.0,3.243053618373782,1612630428803015678,1612630428804055873
cov2svd,4755,0,0.0,3.2426309605322103,1612630428806324750,1612630428807260102
ica_readmodule,3961,1,0.0,3.294195217203865,1612630427941838447,1612630427942529221
ica_readmodule,5764,1,5.975,3.4116940971605842,1612630428807514473,1612630428808676538
cov1svd,4696,0,6.225,3.2925045858375808,1612630428817248870,1612630428818907595
whiten,4695,0,9.7,3.2848967446893043,1612630428821870886,1612630428823425394
normfn,4757,0,9.925,3.243053618373782,1612630428828184204,1612630428829137316
cov2svd,4755,0,9.975,3.2426309605322103,1612630428831358902,1612630428832334827
ica_readmodule,3961,1,12.15,3.294195217203865,1612630427982951124,1612630427983660857
ica_readmodule,5764,1,0.0,3.4116940971605842,1612630428849394593,1612630428850564210
cov1svd,4696,0,5.525,3.2925045858375808,1612630428862479720,1612630428864110790
whiten,4695,0,0.0,3.2848967446893043,1612630428866907572,1612630428867978546
normfn,4757,0,0.0,3.243053618373782,1612630428873617256,1612630428874646409
cov2svd,4755,0,0.0,3.2426309605322103,1612630428876889140,1612630428877824180
ica_readmodule,3961,1,0.0,3.294195217203865,1612630428024886397,1612630428026094927
ica_readmodule,5764,1,0.0,3.4116940971605842,1612630428891228724,1612630428892388497
cov1svd,4696,0,6.275,3.2925045858375808,1612630428902044455,1612630428903886251
whiten,4695,0,6.35,3.2848967446893043,1612630428906339079,1612630428907271045
normfn,4757,0,0.0,3.243053618373782,1612630428912818567,1612630428913833033
cov2svd,4755,0,0.0,3.2426309605322103,1612630428916067222,1612630428917032158
ica_readmodule,3961,1,0.0,3.294195217203865,1612630428066754066,1612630428067993169
ica_readmodule,5764,1,5.975,3.4116940971605842,1612630428933053897,1612630428934210128
cov1svd,4696,0,0.0,3.2925045858375808,1612630428942984847,1612630428944801018
whiten,4695,0,0.0,3.2848967446893043,1612630428947443792,1612630428948334508
normfn,4757,0,0.0,3.243053618373782,1612630428953986050,1612630428954969214
cov2svd,4755,0,6.075,3.2426309605322103,1612630428957194966,1612630428958188964
ica_readmodule,3961,1,5.775,3.294195217203865,1612630428110090679,1612630428111203898
ica_readmodule,5764,1,0.0,3.4116940971605842,1612630428974881465,1612630428976044728
cov1svd,4696,0,6.0,3.2925045858375808,1612630428984598406,1612630428986636918
whiten,4695,0,0.0,3.2848967446893043,1612630428989829736,1612630428990792482
normfn,4757,0,0.0,3.243053618373782,1612630428995497799,1612630428996487317
cov2svd,4755,0,0.0,3.2426309605322103,1612630428998678956,1612630428999637953
ica_readmodule,3961,1,0.0,3.294195217203865,1612630428151856162,1612630428152957922
ica_readmodule,5764,1,5.95,3.4116940971605842,1612630429016707784,1612630429017977868
cov1svd,4696,0,5.325,3.2925045858375808,1612630429031424181,1612630429033190874
whiten,4695,0,5.275,3.2848967446893043,1612630429037161597,1612630429038881780
normfn,4757,0,5.225,3.243053618373782,1612630429043312331,1612630429044441535
cov2svd,4755,0,0.0,3.2426309605322103,1612630429046659683,1612630429047764044
ica_readmodule,3961,1,0.0,3.294195217203865,1612630428195041683,1612630428196137923
ica_readmodule,5764,1,0.0,3.4116940971605842,1612630429058653111,1612630429059958455
cov1svd,4696,0,6.625,3.2925045858375808,1612630429069040768,1612630429070946677
whiten,4695,0,6.675,3.2848967446893043,1612630429074731518,1612630429075699264
normfn,4757,0,0.0,3.243053618373782,1612630429080503825,1612630429081449593
cov2svd,4755,0,6.775,3.2426309605322103,1612630429083626544,1612630429084710749
ica_readmodule,3961,1,5.75,3.294195217203865,1612630428238488035,1612630428239602452
ica_readmodule,5764,1,0.0,3.4116940971605842,1612630429102699083,1612630429103864168
cov1svd,4696,0,0.0,3.2925045858375808,1612630429115116450,1612630429116698718
whiten,4695,0,0.0,3.2848967446893043,1612630429119613780,1612630429120627567
normfn,4757,0,5.575,3.243053618373782,1612630429125400217,1612630429126359476
cov2svd,4755,0,0.0,3.2426309605322103,1612630429128551010,1612630429129539903
ica_readmodule,3961,1,0.0,3.294195217203865,1612630428282463913,1612630428283594007
ica_readmodule,5764,1,5.975,3.4116940971605842,1612630429144526131,1612630429145682050
cov1svd,4696,0,6.25,3.2925045858375808,1612630429155006597,1612630429156701468
whiten,4695,0,6.2,3.28743269173873,1612630429159864026,1612630429160880313
normfn,4757,0,6.15,3.243053618373782,1612630429166078436,1612630429167026601
cov2svd,4755,0,6.15,3.2426309605322103,1612630429169206208,1612630429170173383
ica_readmodule,3961,1,5.95,3.294195217203865,1612630428324527570,1612630428325926932
ica_readmodule,5764,1,0.0,3.4116940971605842,1612630429188413615,1612630429189654116
cov1svd,4696,0,0.0,3.2925045858375808,1612630429201033790,1612630429202850951
whiten,4695,0,5.425,3.28743269173873,1612630429205959968,1612630429207060734
normfn,4757,0,0.0,3.243053618373782,1612630429211902369,1612630429212859961
cov2svd,4755,0,0.0,3.2426309605322103,1612630429215253315,1612630429216253979
ica_readmodule,3961,1,5.55,3.294195217203865,1612630428369544376,1612630428370718792
ica_readmodule,5764,1,0.0,3.4116940971605842,1612630429232428962,1612630429233584516
